record_id,产品品名,产地（国家）,产地（市）,产地（省）,单混,品名,品类一级,品类二级,商品链接,序号,序号1,序号2,序号3,标签照片,正常售价,正面图片,规格,采集平台,采集时间,优惠到手价,口味,委托方,生产商,背面图片,外包装图片,箱规,赠品图片,备注
recSbZmuKU,optwcIGi37,,,,单,奥利奥夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/0wJLUZQeEaUGYOB,DRF-,DRF,,,image.png,11.5,image.png,194g,大润发,1752156078000,9.9,生日蛋糕味、白桃乌龙味,,,,,,,
recAQee5Bo,optwcIGi37,中国,苏州,江苏,单,奥利奥夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/KohXGKIwROOlwbK,DRF-,DRF,,,,6.5,image.png,97g,大润发,1752156078000,6.5,白桃乌龙味,亿滋食品企业管理（上海）有限公司,亿滋食品（苏州）有限公司,image.png,,,,
recfFQEx8A,optwT0Hgbp,中国,天津,,单,康师傅3+2苏打夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/bFAX02OZOH0lvIJ,DRF-,DRF,,,,16.8,image.png,375g,大润发,1752156078000,16.8,柠檬味、香草巧克力味、蓝莓味,天津顶园食品有限公司,天津顶园食品有限公司,image.png,,,,
recflt6vY5,optI6gYxRi,,,,单,奥利奥薄脆夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/SgsKt7rJ3Pq3vYE,DRF-,DRF,,,,7.5,image.png,95g,大润发,1752156078000,6.25,草莓味、抹茶无花果味,,,image.png,,,,
recsvP79tZ,optI6gYxRi,中国,,,单,奥利奥薄脆夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/8L60CIkJ1rwtmfp,DRF-,DRF,,,image.png,13.8,image.png,190g,大润发,1752156078000,12.13,香草奥碎味,,,,,,,
recYfqYd5u,optBWBV4YJ,中国,泰州,江苏,单,华味享精制猪肉脯,休闲零食,肉干小食,,DRF-,DRF,,,image.png,22.7,image.png,120g,大润发,1752156078000,15.9,原味/白芝麻味,杭州华味享生物科技有限公司,靖江市味乐食品有限公司,image.png,,,,
rechIWUUtt,optBRJHGrV,中国,泰州,江苏,单,可其三阳肉脯,休闲零食,肉干小食,,DRF-,DRF,,,,39.7,image.png,250g,大润发,1752156078000,,原味/香辣味,靖江三阳食品有限公司,靖江三阳食品有限公司,image.png,,,,
recLZaX6e0,optYgsr2jX,中国,苏州/无锡,江苏,单,多肉爆汁柚子 复合果汁饮品,酒水饮料,果汁/植物饮,,SM-,SM,,,柚子汁1-标.jpg,89.9,柚子汁1-正.jpg,270g,山姆APP,1752156078000,,,统一企业（中国）投资有限公司,昆山统实企业有限公司/无锡统一实业包装有限公司,柚子汁1-后.jpg,柚子汁1-外.jpg,270g*15,,
recoXlqqSF,opt0eOn3SW,中国,,,单,好麦芝士夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/Q3weMOjRcBN3MDb,DRF-,DRF,,,image.png,16.9,image.png,216g,大润发,1752156078000,16.9,芝士味,,,,,,,
recmuKD1Ga,optCmhmJQ2,中国,麓山区,重庆,单,有友山椒猪皮晶,休闲零食,肉干小食,,DRF-,DRF,,,,11,image.png,120g,大润发,1752156078000,10.4,山椒味,有友食品股份有限公司,有友食品重庆制造有限公司,image.png,,,,
